ImpulseTime,Direction,RangePts,SpreadAtFreeze,BandWidth,Fib50,Fib618,ConfirmType,RejectStage,Baseline,Base_CRYPTO,FlatGuard,FlatMatch_EA,FlatBreakout,FlatState,FlatDuration,FlatBarsSince,EntryPrice,SL,ExitPrice,ExitReason,PnL_pips,HoldBars_M1,FreezeTime
2025-12-02 10:42:00,SHORT,25210.0,2250.0,543.8,86546.65,86576.4,,FIB786_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MATCH,7,7,,,,,,,2025-12-02 10:45:00
2025-12-02 12:48:00,LONG,18160.0,2250.0,464.5,87221.3,87199.87,,NO_CONFIRM,PASS,PASS,PASS,PASS,LONG,MATCH,8,1,,,,,,,2025-12-02 12:49:00
2025-12-02 14:39:00,LONG,15520.0,2250.0,517.7,87359.3,87340.99,,FIB786_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,7,0,,,,,,,2025-12-02 14:40:00
2025-12-02 15:36:00,LONG,14500.0,2250.0,589.4,87472.9,87455.79,MicroBreak,,PASS,PASS,PASS,PASS,LONG,MATCH,4,2,87542.8,87354.97,90164.2,EMACross_Exit,262140.0,111,2025-12-02 15:37:00
2025-12-02 18:57:00,SHORT,39090.0,2250.0,997.8,90899.05,90945.18,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-02 19:00:00
2025-12-02 22:28:00,SHORT,46040.0,2250.0,864.8,91180.8,91235.13,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MATCH,16,6,,,,,,,2025-12-02 22:30:00
2025-12-03 00:07:00,SHORT,32190.0,2250.0,522.0,91665.55,91703.53,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MISMATCH,4,2,,,,,,,2025-12-03 00:09:00
2025-12-03 00:40:00,LONG,29310.0,2250.0,542.8,91781.95,91747.36,,RETOUCH_TIMEOUT,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,6,0,,,,,,,2025-12-03 00:43:00
2025-12-03 02:09:00,LONG,23450.0,2250.0,539.9,91396.75,91369.08,,FIB786_BREAK,PASS,PASS,PASS,FLAT_MISMATCH,SHORT,MISMATCH,4,8,,,,,,,2025-12-03 02:11:00
2025-12-03 03:27:00,SHORT,21660.0,2250.0,762.0,91857.4,91882.96,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MATCH,4,12,,,,,,,2025-12-03 03:28:00
2025-12-03 03:47:00,LONG,19260.0,2250.0,565.0,92101.4,92078.67,,RETOUCH_TIMEOUT,PASS,PASS,PASS,FLAT_MISMATCH,SHORT,MISMATCH,4,16,,,,,,,2025-12-03 03:48:00
2025-12-03 06:28:00,SHORT,43360.0,2250.0,822.9,92952.6,93003.76,,NO_CONFIRM,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-03 06:30:00
2025-12-03 08:44:00,SHORT,36460.0,2250.0,751.1,93328.6,93371.62,,NO_CONFIRM,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MATCH,3,1,,,,,,,2025-12-03 08:46:00
2025-12-03 10:06:00,SHORT,23400.0,2250.0,572.7,93054.5,93082.11,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,5,0,,,,,,,2025-12-03 10:07:00
2025-12-03 11:52:00,LONG,20060.0,2250.0,546.0,93054.9,93031.23,MicroBreak,,PASS,PASS,PASS,PASS,LONG,MATCH,13,1,93109.7,92908.84,93109.7,SL_Hit,0.0,23,2025-12-03 11:53:00
2025-12-03 13:16:00,LONG,24650.0,2250.0,644.0,92786.45,92757.36,,RETOUCH_TIMEOUT,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-03 13:17:00
2025-12-03 14:06:00,SHORT,16090.0,2250.0,526.7,92876.45,92895.44,,NO_CONFIRM,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-03 14:07:00
2025-12-03 16:01:00,SHORT,141030.0,2250.0,1369.5,92396.85,92563.27,,NO_CONFIRM,PASS,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MATCH,8,1,,,,,,,2025-12-03 16:05:00
2025-12-03 19:21:00,LONG,25990.0,2250.0,916.6,92464.65,92433.98,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,7,0,,,,,,,2025-12-03 19:22:00
2025-12-03 20:16:00,SHORT,32200.0,2250.0,873.3,93173.2,93211.2,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MISMATCH,11,7,,,,,,,2025-12-03 20:17:00
2025-12-03 22:03:00,SHORT,32280.0,2250.0,619.7,92983.2,93021.29,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-03 22:06:00
2025-12-03 23:56:00,LONG,21260.0,2250.0,528.1,93549.0,93523.91,,FIB786_BREAK,PASS,PASS,PASS,PASS,LONG,MATCH,7,14,,,,,,,2025-12-03 23:57:00
2025-12-04 00:42:00,LONG,26740.0,2250.0,786.3,93597.2,93565.65,,RETOUCH_TIMEOUT,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-04 00:43:00
2025-12-04 01:58:00,SHORT,17200.0,2250.0,482.2,93450.1,93470.4,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,2,0,,,,,,,2025-12-04 01:59:00
2025-12-04 02:12:00,SHORT,26530.0,2250.0,563.9,93048.45,93079.76,MicroBreak,,PASS,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MATCH,4,1,92852.9,93238.59,92934.4,TimeExit,-8150.0,15,2025-12-04 02:15:00
2025-12-04 04:19:00,LONG,37750.0,2250.0,770.7,93864.85,93820.3,,FIB786_BREAK,PASS,PASS,PASS,PASS,LONG,MATCH,3,2,,,,,,,2025-12-04 04:22:00
2025-12-04 07:12:00,LONG,20080.0,2250.0,505.5,93120.5,93096.81,,FIB786_BREAK,M15_COUNTER,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MISMATCH,15,2,,,,,,,2025-12-04 07:13:00
2025-12-04 07:50:00,SHORT,16675.0,2250.0,432.4,92845.18,92864.85,,STRUCTURE_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-04 07:53:00
2025-12-04 08:25:00,LONG,22475.0,2250.0,463.1,93128.18,93101.65,,FIB786_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MATCH,2,2,,,,,,,2025-12-04 08:27:00
2025-12-04 09:09:00,SHORT,11580.0,2250.0,424.4,93051.1,93064.76,,FIB786_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-04 09:10:00
2025-12-04 10:02:00,LONG,23310.0,2250.0,415.1,93475.45,93447.94,,STRUCTURE_BREAK,M15_COUNTER,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MATCH,2,7,,,,,,,2025-12-04 10:05:00
2025-12-04 11:06:00,LONG,25250.0,2250.0,496.1,93483.35,93453.56,,FIB786_BREAK,PASS,PASS,PASS,PASS,LONG,MATCH,2,2,,,,,,,2025-12-04 11:08:00
2025-12-04 11:17:00,SHORT,14590.0,2250.0,549.6,93296.65,93313.87,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-04 11:18:00
2025-12-04 11:53:00,LONG,17080.0,2250.0,502.8,93518.0,93497.85,,FIB786_BREAK,PASS,PASS,PASS,PASS,LONG,MATCH,2,11,,,,,,,2025-12-04 11:55:00
2025-12-04 13:32:00,SHORT,24020.0,2250.0,499.7,92844.1,92872.44,,NO_CONFIRM,PASS,PASS,PASS,PASS,SHORT,MATCH,8,2,,,,,,,2025-12-04 13:35:00
2025-12-04 14:38:00,SHORT,11190.0,2250.0,398.4,93001.75,93014.95,,STRUCTURE_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,5,0,,,,,,,2025-12-04 14:39:00
2025-12-04 15:04:00,SHORT,35060.0,2250.0,797.1,92646.9,92688.27,,FIB786_BREAK,PASS,PASS,PASS,FLAT_MISMATCH,LONG,MISMATCH,5,5,,,,,,,2025-12-04 15:06:00
2025-12-04 15:31:00,LONG,22820.0,2250.0,755.0,92788.0,92761.07,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MATCH,5,11,,,,,,,2025-12-04 15:32:00
2025-12-04 16:30:00,SHORT,31860.0,2250.0,701.5,92610.6,92648.19,,FIB786_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-04 16:32:00
2025-12-04 16:51:00,SHORT,36240.0,2250.0,1103.6,92217.7,92260.46,,STRUCTURE_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,6,1,,,,,,,2025-12-04 16:52:00
2025-12-04 17:39:00,LONG,42170.0,2250.0,1208.3,93033.85,92984.09,,FIB786_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MISMATCH,6,10,,,,,,,2025-12-04 17:40:00
2025-12-04 20:40:00,SHORT,45190.0,2250.0,729.8,92165.75,92219.07,MicroBreak,,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,4,0,91951.9,92448.33,91899.7,EMACross_Exit,5220.0,33,2025-12-04 20:43:00
2025-12-05 00:02:00,LONG,15700.0,2250.0,498.0,92292.7,92274.17,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-05 00:03:00
2025-12-05 00:30:00,LONG,12550.0,2250.0,410.5,92236.65,92221.84,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,9,0,,,,,,,2025-12-05 00:31:00
2025-12-05 02:00:00,LONG,16760.0,2250.0,361.3,92145.7,92125.92,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,2,0,,,,,,,2025-12-05 02:02:00
2025-12-05 03:52:00,SHORT,11490.0,2250.0,353.2,92389.65,92403.21,,FIB786_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-05 03:53:00
2025-12-05 04:14:00,LONG,14580.0,2250.0,354.8,92415.6,92398.4,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,2,0,,,,,,,2025-12-05 04:15:00
2025-12-05 04:37:00,LONG,17710.0,2250.0,403.9,92593.15,92572.25,,FIB786_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MATCH,3,4,,,,,,,2025-12-05 04:38:00
2025-12-05 05:56:00,SHORT,33330.0,2250.0,442.8,92118.55,92157.88,,FIB786_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,6,8,,,,,,,2025-12-05 05:57:00
2025-12-05 06:31:00,SHORT,0.0,0.0,0.0,0.0,0.0,,FREEZE_CANCEL,PASS,PASS,PASS,PASS,SHORT,MATCH,6,15,,,,,,,
2025-12-05 08:31:00,SHORT,13030.0,2250.0,294.9,91978.15,91993.53,,FIB786_BREAK,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-05 08:32:00
2025-12-05 08:51:00,LONG,15230.0,2250.0,334.3,92183.25,92165.28,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MATCH,3,2,,,,,,,2025-12-05 08:52:00
2025-12-05 10:04:00,SHORT,10490.0,2250.0,346.6,92138.45,92150.83,,NO_CONFIRM,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-05 10:05:00
2025-12-05 10:40:00,SHORT,17500.0,2250.0,376.3,91976.3,91996.95,,FIB786_BREAK,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-05 10:41:00
2025-12-05 11:16:00,SHORT,0.0,0.0,0.0,0.0,0.0,,FREEZE_CANCEL,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,
2025-12-05 13:24:00,SHORT,14790.0,2250.0,432.4,91367.25,91384.7,,RETOUCH_TIMEOUT,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,9,0,,,,,,,2025-12-05 13:25:00
2025-12-05 14:34:00,LONG,12780.0,2250.0,423.0,91177.7,91162.62,MicroBreak,,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,7,0,91236.8,91083.1,91185.2,TimeExit,-5160.0,12,2025-12-05 14:35:00
2025-12-05 15:04:00,SHORT,12770.0,2250.0,387.8,91119.35,91134.42,,STRUCTURE_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,13,0,,,,,,,2025-12-05 15:05:00
2025-12-05 15:25:00,SHORT,18795.0,2250.0,657.5,90859.33,90881.5,MicroBreak,,PASS,PASS,PASS,PASS,SHORT,MATCH,15,3,90615.2,91026.27,90620.0,TimeExit,-480.0,13,2025-12-05 15:26:00
2025-12-05 17:02:00,LONG,107230.0,2250.0,1569.6,90928.25,90801.72,,NO_CONFIRM,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MISMATCH,2,6,,,,,,,2025-12-05 17:06:00
2025-12-05 18:07:00,SHORT,60620.0,2250.0,1468.6,89652.5,89724.03,,RETOUCH_TIMEOUT,PASS,PASS,PASS,PASS,SHORT,MATCH,2,4,,,,,,,2025-12-05 18:09:00
2025-12-06 00:00:00,SHORT,24810.0,2250.0,515.4,89064.45,89093.73,,FIB786_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,9,3,,,,,,,2025-12-06 00:03:00
2025-12-06 00:15:00,LONG,16940.0,2250.0,525.7,89024.8,89004.81,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 00:17:00
2025-12-06 00:33:00,SHORT,20750.0,2250.0,490.0,89125.85,89150.34,,STRUCTURE_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,4,0,,,,,,,2025-12-06 00:34:00
2025-12-06 01:09:00,LONG,18080.0,2250.0,453.0,89033.2,89011.87,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 01:12:00
2025-12-06 01:55:00,LONG,8900.0,2250.0,272.7,89322.2,89311.7,,STRUCTURE_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 01:57:00
2025-12-06 02:11:00,SHORT,15150.0,2250.0,332.6,89100.05,89117.93,,FIB786_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,2,1,,,,,,,2025-12-06 02:12:00
2025-12-06 02:33:00,LONG,17150.0,2250.0,364.8,89275.05,89254.81,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MISMATCH,2,5,,,,,,,2025-12-06 02:35:00
2025-12-06 03:01:00,SHORT,7960.0,2250.0,283.0,89343.5,89352.89,,STRUCTURE_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,2,11,,,,,,,2025-12-06 03:02:00
2025-12-06 03:30:00,SHORT,11960.0,2250.0,363.8,89360.8,89374.91,,RETOUCH_TIMEOUT,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,5,0,,,,,,,2025-12-06 03:31:00
2025-12-06 03:46:00,LONG,14490.0,2250.0,325.1,89277.95,89260.85,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MISMATCH,6,2,,,,,,,2025-12-06 03:49:00
2025-12-06 04:51:00,LONG,11450.0,2250.0,311.2,89285.95,89272.44,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,11,0,,,,,,,2025-12-06 04:52:00
2025-12-06 05:02:00,LONG,13990.0,2250.0,334.1,89443.85,89427.34,,RETOUCH_TIMEOUT,PASS,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MATCH,12,1,,,,,,,2025-12-06 05:03:00
2025-12-06 06:10:00,SHORT,17830.0,2250.0,273.3,89591.45,89612.49,,NO_CONFIRM,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,4,0,,,,,,,2025-12-06 06:12:00
2025-12-06 07:16:00,SHORT,12880.0,2250.0,223.9,89603.2,89618.4,,FIB786_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,17,0,,,,,,,2025-12-06 07:18:00
2025-12-06 08:00:00,SHORT,8530.0,2250.0,174.3,89540.75,89550.82,,FIB786_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-06 08:03:00
2025-12-06 09:30:00,SHORT,10360.0,2250.0,286.2,89497.4,89509.62,,STRUCTURE_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 09:32:00
2025-12-06 11:30:00,SHORT,16570.0,2250.0,341.7,89564.95,89584.5,,FIB786_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 11:31:00
2025-12-06 12:24:00,SHORT,15330.0,2250.0,228.8,89578.95,89597.04,,RETOUCH_TIMEOUT,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,7,0,,,,,,,2025-12-06 12:29:00
2025-12-06 12:47:00,SHORT,9280.0,2250.0,231.7,89486.8,89497.75,,FIB786_BREAK,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 12:48:00
2025-12-06 13:07:00,LONG,7300.0,2250.0,191.8,89507.2,89498.59,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,2,0,,,,,,,2025-12-06 13:08:00
2025-12-06 14:25:00,SHORT,5710.0,2250.0,183.2,89571.15,89577.89,,STRUCTURE_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 14:26:00
2025-12-06 15:26:00,LONG,6570.0,2250.0,163.5,89650.25,89642.5,,FIB786_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MATCH,12,1,,,,,,,2025-12-06 15:29:00
2025-12-06 15:39:00,SHORT,9820.0,2250.0,227.9,89717.0,89728.59,,FIB786_BREAK,M15_COUNTER,M15_FLAT,M15_FLAT,M15_FLAT,LONG,MISMATCH,12,3,,,,,,,2025-12-06 15:40:00
2025-12-06 16:15:00,LONG,55230.0,2250.0,525.0,89986.45,89921.28,,RETOUCH_TIMEOUT,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 16:18:00
2025-12-06 17:16:00,SHORT,25120.0,2250.0,490.5,89628.1,89657.74,MicroBreak,,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,89572.8,89798.42,89798.42,SL_Hit,-22561.6,7,2025-12-06 17:20:00
2025-12-06 17:59:00,SHORT,15720.0,2250.0,415.6,89785.7,89804.25,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 18:00:00
2025-12-06 19:04:00,LONG,11180.0,2250.0,330.0,89707.6,89694.41,,STRUCTURE_BREAK,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 19:06:00
2025-12-06 19:23:00,LONG,12040.0,2250.0,301.6,89671.1,89656.89,,FIB786_BREAK,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-06 19:24:00
2025-12-06 20:30:00,SHORT,7020.0,2250.0,246.1,89714.4,89722.68,,FIB786_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,STILL_FLAT,STILL_FLAT,15,0,,,,,,,2025-12-06 20:31:00
2025-12-06 20:52:00,SHORT,11770.0,2250.0,261.6,89563.75,89577.64,,STRUCTURE_BREAK,PASS,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MATCH,18,1,,,,,,,2025-12-06 20:53:00
2025-12-06 21:07:00,SHORT,40740.0,2250.0,522.1,89518.0,89566.07,MicroBreak,,PASS,M15_FLAT,M15_FLAT,M15_FLAT,SHORT,MATCH,18,4,89510.5,89757.26,89441.1,EMACross_Exit,6940.0,44,2025-12-06 21:08:00
2025-12-06 22:07:00,SHORT,16280.0,2250.0,344.5,89382.3,89401.51,,FIB786_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,9,16,,,,,,,2025-12-06 22:10:00
2025-12-06 23:01:00,LONG,11120.0,2250.0,219.6,89551.5,89538.38,,STRUCTURE_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-06 23:06:00
2025-12-07 00:12:00,SHORT,6180.0,2250.0,264.0,89316.3,89323.59,,STRUCTURE_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,3,3,,,,,,,2025-12-07 00:13:00
